alder.flycatcher,american.dipper,american.pipit,american.robin,american.wigeon,arctic.tern,american.threetoed.woodpecker,bald.eagle,barrows.goldeneye,bank.swallow,blackbilled.magpie,blackcapped.chickadee,belted.kingfisher,blackpoll.warbler,bluewinged.teal,bohemian.waxwing,boreal.chickadee,bonapartes.gull,brown.creeper,canada.goose,canada.jay,canvasback,common.goldeneye,common.loon,common.raven,common.redpoll,darkeyed.junco,downy.woodpecker,fox.sparrow,gadwall,goldencrowned.kinglet,goldencrowned.sparrow,greater.scaup,greater.yellowlegs,herring.gull.hybrid,greenwinged.teal,hairy.woodpecker,hermit.thrush,least.sandpiper,lesser.scaup,lesser.yellowlegs,lincolns.sparrow,mallard,mew.gull,merlin,northern.flicker,northern.goshawk,northern.harrier,northern.pintail,northern.waterthrush,northern.shoveler,orangecrowned.warbler,olivesided.flycatcher,pine.siskin,redbreasted.nuthatch,rubycrowned.kinglet,ringnecked.duck,rednecked.grebe,rednecked.phalarope,redtailed.hawk,redthroated.loon,rusty.blackbird,sandhill.crane,savannah.sparrow,semipalmated.plover,shortbilled.dowitcher,solitary.sandpiper,spotted.sandpiper,sharpshinned.hawk,swainsons.thrush,townsends.solitaire,townsends.warbler,tree.swallow,trumpeter.swan,varried.thrush,violetgreen.swallow,whitecrowned.sparrow,westernwood.peewe,wilsons.snipe,wilsons.warbler,whitewinged.crossbill,yellow.warbler,yellowrumped.warbler
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,4
0,0,0,20,2,0,0,1,0,0,0,0,0,0,0,0,6,0,0,6,2,0,0,0,0,16,36,0,0,0,6,0,0,2,0,8,0,12,0,0,7,36,4,0,0,0,0,0,0,0,10,24,0,0,2,16,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,8,0,10,2,6,0,62,0,0,0,28
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,6,0,2,2,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,2,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2
0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,11,3,0,0,0,0,0,0,2,2,0,2,0,0,4,60,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,8,2,0,0,10
0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,12
0,0,0,16,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,2,0,2,2,0,0,14,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,8,0,0,0,16,4,0,0,18
0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,9,1,0,0,0,0,0,0,0,0,2,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,4,0,0,6
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,2,3,0,8,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,4,0,8,2,2,0,0,0,0,2,10,0,4,0,0,0,10,2,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,4
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,4,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,6,8,0,0,0,0,0,0,0,0,16,1,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,8,2,0,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,4
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,3,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,2,0,8,0,3,0,20
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,12
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
